epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2228.04,1.42525,2.63135,1.71868,0.69844,0.61961,0.696,0.51948,1.30613,2.44711,1.58631,0.0012862,0.0012862,0.0012862
43,2276.99,1.41306,2.59404,1.7079,0.70937,0.612,0.68829,0.53448,1.18199,2.44608,1.55452,0.0012562,0.0012562,0.0012562
44,2326.41,1.40147,2.555,1.69107,0.66465,0.66284,0.70809,0.54985,1.19614,2.34406,1.56168,0.00122596,0.00122596,0.00122596
45,2375.68,1.40309,2.51023,1.6934,0.70401,0.63601,0.70441,0.55352,1.16196,2.3534,1.54502,0.00119551,0.00119551,0.00119551
46,2426.72,1.39229,2.5036,1.69311,0.72365,0.6357,0.71398,0.54315,1.24101,2.36704,1.55974,0.00116487,0.00116487,0.00116487
47,2476.5,1.38929,2.44534,1.68442,0.69264,0.65251,0.71514,0.55349,1.16824,2.32614,1.55268,0.00113408,0.00113408,0.00113408
48,2526.19,1.36073,2.39295,1.66771,0.69901,0.65233,0.71475,0.55168,1.19216,2.35113,1.55078,0.00110317,0.00110317,0.00110317
49,2575.34,1.36263,2.41423,1.66851,0.73275,0.65508,0.73363,0.57339,1.15808,2.21021,1.52429,0.00107216,0.00107216,0.00107216
50,2624.43,1.35981,2.35241,1.66376,0.71913,0.67405,0.74443,0.58093,1.15243,2.18619,1.52232,0.0010411,0.0010411,0.0010411
51,2673.51,1.34061,2.3105,1.65685,0.7452,0.6447,0.74153,0.57811,1.16703,2.22657,1.52732,0.00101,0.00101,0.00101
52,2722.65,1.3508,2.32872,1.65688,0.73789,0.66306,0.74277,0.5806,1.14585,2.21254,1.53206,0.000978903,0.000978903,0.000978903
53,2771.76,1.33646,2.2985,1.64669,0.77418,0.64716,0.75959,0.59907,1.11792,2.13495,1.51408,0.000947837,0.000947837,0.000947837
54,2822.32,1.345,2.28428,1.65209,0.76131,0.66862,0.75232,0.59315,1.10999,2.16634,1.51315,0.000916833,0.000916833,0.000916833
55,2872.24,1.33811,2.25935,1.65233,0.74838,0.68473,0.76188,0.60088,1.1303,2.11254,1.52513,0.00088592,0.00088592,0.00088592
56,2922.61,1.3205,2.24028,1.64437,0.77921,0.67705,0.76761,0.60968,1.08972,2.06397,1.50491,0.00085513,0.00085513,0.00085513
57,2973.12,1.32414,2.22065,1.6584,0.75273,0.67797,0.76492,0.609,1.09183,2.08334,1.49669,0.000824492,0.000824492,0.000824492
58,3023.11,1.28888,2.13367,1.62384,0.78972,0.67559,0.7701,0.60928,1.10816,2.07664,1.49652,0.000794038,0.000794038,0.000794038
59,3073.05,1.28976,2.12672,1.62152,0.76737,0.70557,0.77644,0.61866,1.08895,2.0665,1.4824,0.000763797,0.000763797,0.000763797
60,3123.42,1.29111,2.11544,1.61756,0.76843,0.69573,0.77765,0.62803,1.04388,2.08022,1.46454,0.000733799,0.000733799,0.000733799
61,3173.33,1.2934,2.10584,1.62492,0.77368,0.68805,0.77309,0.62132,1.06527,2.03924,1.47159,0.000704073,0.000704073,0.000704073
62,3222.84,1.28189,2.0712,1.60708,0.78553,0.69456,0.77257,0.62341,1.04669,2.0171,1.45409,0.000674649,0.000674649,0.000674649
63,3271.95,1.26348,2.04636,1.60564,0.79422,0.6972,0.7851,0.63176,1.05083,2.00026,1.45344,0.000645557,0.000645557,0.000645557
64,3322.47,1.27149,2.0515,1.61246,0.77139,0.70155,0.78289,0.62642,1.06,2.01822,1.46397,0.000616824,0.000616824,0.000616824
65,3371.54,1.25566,1.99501,1.58984,0.75723,0.70186,0.78111,0.62557,1.06796,2.00725,1.46978,0.000588479,0.000588479,0.000588479
66,3420.46,1.2578,1.97662,1.59081,0.79035,0.68571,0.7832,0.63331,1.03742,1.99376,1.45669,0.000560549,0.000560549,0.000560549
67,3469.56,1.25986,1.96595,1.59795,0.77721,0.70921,0.78479,0.63101,1.05858,1.99832,1.45962,0.000533064,0.000533064,0.000533064
68,3518.67,1.2399,1.94693,1.59133,0.78032,0.71463,0.78768,0.63568,1.0408,1.97167,1.45192,0.000506049,0.000506049,0.000506049
69,3568.27,1.24377,1.93339,1.58806,0.80154,0.68975,0.78955,0.63785,1.03915,1.97873,1.44968,0.000479531,0.000479531,0.000479531
70,3619.18,1.23673,1.91183,1.57801,0.79896,0.69466,0.79616,0.64755,1.03178,1.93034,1.45681,0.000453537,0.000453537,0.000453537
71,3668.86,1.22839,1.89549,1.5774,0.775,0.71581,0.79353,0.64643,1.01981,1.95368,1.44048,0.000428093,0.000428093,0.000428093
72,3718.47,1.21982,1.88524,1.56822,0.79532,0.70478,0.79773,0.64973,1.02045,1.95777,1.44104,0.000403222,0.000403222,0.000403222
73,3768.12,1.2255,1.87504,1.5809,0.79556,0.71018,0.79737,0.6488,1.03629,1.94465,1.44911,0.00037895,0.00037895,0.00037895
74,3817.88,1.21565,1.8449,1.56479,0.80832,0.70007,0.79751,0.65314,1.0207,1.93246,1.44648,0.000355301,0.000355301,0.000355301
75,3868.83,1.20535,1.84641,1.57035,0.80291,0.7085,0.79833,0.65322,1.01632,1.90774,1.4386,0.000332298,0.000332298,0.000332298
76,3918.99,1.19839,1.81083,1.56006,0.7943,0.71369,0.79883,0.65361,1.02532,1.9339,1.43446,0.000309964,0.000309964,0.000309964
77,3969.26,1.19156,1.80549,1.55445,0.80492,0.70655,0.79859,0.65414,1.02225,1.91543,1.44082,0.000288321,0.000288321,0.000288321
78,4019.38,1.19713,1.81624,1.56067,0.80943,0.70777,0.80001,0.65357,1.02742,1.93278,1.44278,0.00026739,0.00026739,0.00026739
79,4069.24,1.18784,1.77825,1.54833,0.81652,0.7036,0.80199,0.65445,1.02291,1.91737,1.44044,0.000247192,0.000247192,0.000247192
80,4118.86,1.17838,1.73904,1.54989,0.80361,0.71353,0.80038,0.65506,1.01574,1.91342,1.44206,0.000227747,0.000227747,0.000227747
81,4168.03,1.18434,1.75138,1.54738,0.80991,0.70811,0.80081,0.6558,1.01137,1.92761,1.43884,0.000209073,0.000209073,0.000209073
82,4217.44,1.17225,1.73545,1.54248,0.81975,0.70336,0.80172,0.65596,1.00915,1.92106,1.43724,0.00019119,0.00019119,0.00019119
83,4266.76,1.15955,1.72693,1.54102,0.82325,0.69752,0.80447,0.65936,1.00346,1.91168,1.43281,0.000174115,0.000174115,0.000174115
84,4315.87,1.17294,1.74912,1.54247,0.80217,0.71522,0.80486,0.65837,1.00432,1.9166,1.42819,0.000157865,0.000157865,0.000157865
85,4365.65,1.16904,1.71632,1.53682,0.82135,0.70179,0.80574,0.65983,1.00481,1.92047,1.42794,0.000142456,0.000142456,0.000142456
86,4415.04,1.16433,1.73166,1.53809,0.82206,0.70299,0.80523,0.66032,1.00201,1.93303,1.42962,0.000127904,0.000127904,0.000127904
87,4465.05,1.1544,1.70897,1.53678,0.8173,0.70858,0.8053,0.66082,0.99974,1.94226,1.42858,0.000114221,0.000114221,0.000114221
